cell_a,cell_b,source_cell_a,source_cell_b,correlation,pvalue
0,6,0,14,0.8164346814155579,0.0
0,17,0,33,0.29154568910598755,0.0
0,21,0,41,0.29982757568359375,0.0
0,22,0,44,0.2729249894618988,0.0
0,30,0,77,0.42545047402381897,0.0
0,39,0,114,0.44166240096092224,0.0
0,47,0,139,0.26581794023513794,0.0
1,7,1,15,0.45807406306266785,0.0
1,23,1,50,0.17050600051879883,5.250434830229794e-21
1,26,1,57,0.20677480101585388,2.499695131712863e-30
2,7,5,15,0.2471875250339508,5.2969081951478085e-43
2,24,5,52,0.1640080064535141,1.5577757393752425e-19
2,36,5,100,0.6475548148155212,0.0
3,10,7,20,0.6488600373268127,0.0
3,12,7,22,0.2542130649089813,1.401298464324817e-45
3,13,7,23,0.27412909269332886,0.0
3,14,7,24,0.4282575249671936,0.0
3,19,7,38,0.16059303283691406,8.761874449316146e-19
3,27,7,62,0.7004022598266602,0.0
3,46,7,137,0.7264837026596069,0.0
4,5,9,12,0.6229758262634277,0.0
4,8,9,17,0.5659528970718384,0.0
4,11,9,21,0.891508162021637,0.0
4,12,9,22,0.18459449708461761,2.105425579824188e-24
4,16,9,31,0.8787246942520142,0.0
4,20,9,40,0.20980563759803772,3.407428749516711e-31
4,25,9,54,0.44112905859947205,0.0
4,29,9,73,0.5727649331092834,0.0
4,37,9,112,0.6598713994026184,0.0
4,38,9,113,0.6054583787918091,0.0
4,39,9,114,0.3263460099697113,0.0
4,43,9,128,0.7000732421875,0.0
4,45,9,135,0.8614548444747925,0.0
5,8,12,17,0.25644171237945557,0.0
5,10,12,20,0.19675399363040924,1.4567217950119956e-27
5,11,12,21,0.6644430756568909,0.0
5,12,12,22,0.2351040542125702,5.933945483522192e-39
5,14,12,24,0.21853740513324738,9.182580751314654e-34
5,16,12,31,0.5528285503387451,0.0
5,24,12,52,0.3179852366447449,0.0
5,25,12,54,0.43098151683807373,0.0
5,29,12,73,0.3030998408794403,0.0
5,37,12,112,0.347674697637558,0.0
5,38,12,113,0.3884798288345337,0.0
5,39,12,114,0.20743510127067566,1.623649033005487e-30
5,41,12,119,0.3197402358055115,0.0
5,43,12,128,0.6538267731666565,0.0
5,45,12,135,0.6478275656700134,0.0
6,17,14,33,0.3129909336566925,0.0
6,20,14,40,0.1883469521999359,2.349009113366007e-25
6,21,14,41,0.17870549857616425,5.990993416192663e-23
6,22,14,44,0.4738902747631073,0.0
6,30,14,77,0.2844565510749817,0.0
6,39,14,114,0.34158459305763245,0.0
6,47,14,139,0.16839291155338287,1.6050051997243488e-20
7,9,15,19,0.42292138934135437,0.0
7,15,15,30,0.4082595109939575,0.0
7,36,15,100,0.1921606957912445,2.410659086147095e-26
